233    0.0007569789886474609    0    0    b'Hello, world!'
234    0.0007710456848144531    0    0    b'Hello, world!'
235    0.0009160041809082031    0    0    b'Hello, world!'
236    0.0008640289306640625    0    0    b'Hello, world!'
237    0.0008189678192138672    0    0    b'Hello, world!'
238    0.0008161067962646484    0    0    b'Hello, world!'
239    0.0008242130279541016    0    0    b'Hello, world!'
240    0.0008258819580078125    0    0    b'Hello, world!'
241    0.0008320808410644531    0    0    b'Hello, world!'
242    0.0008721351623535156    0    0    b'Hello, world!'
243    0.000993967056274414    0    0    b'Hello, world!'
244    0.0008759498596191406    0    0    b'Hello, world!'
245    0.0008490085601806641    0    0    b'Hello, world!'
246    0.0008449554443359375    0    0    b'Hello, world!'
247    0.0008912086486816406    0    0    b'Hello, world!'
248    0.0008959770202636719    0    0    b'Hello, world!'
249    0.0009160041809082031    0    0    b'Hello, world!'
250    0.00086212158203125    0    0    b'Hello, world!'
251    0.0008540153503417969    0    0    b'Hello, world!'
252    0.0008671283721923828    0    0    b'Hello, world!'
253    0.0008568763732910156    0    0    b'Hello, world!'
254    0.000965118408203125    0    0    b'Hello, world!'
255    0.0009360313415527344    0    0    b'Hello, world!'
256    0.0008800029754638672    0    0    b'Hello, world!'
257    0.0009670257568359375    0    0    b'Hello, world!'
258    0.0008690357208251953    0    0    b'Hello, world!'
259    0.0008990764617919922    0    0    b'Hello, world!'
260    0.0008959770202636719    0    0    b'Hello, world!'
261    0.0008780956268310547    0    0    b'Hello, world!'
262    0.0008728504180908203    0    0    b'Hello, world!'
263    0.0008828639984130859    0    0    b'Hello, world!'
264    0.0008778572082519531    0    0    b'Hello, world!'
265    0.0009047985076904297    0    0    b'Hello, world!'
266    0.0008890628814697266    0    0    b'Hello, world!'
267    0.0008931159973144531    0    0    b'Hello, world!'
268    0.0008919239044189453    0    0    b'Hello, world!'
269    0.0008978843688964844    0    0    b'Hello, world!'
270    0.0008959770202636719    0    0    b'Hello, world!'
